RefDes,MPN,Manufacturer,Qty,Description,Alternate,Supplier,Quote,Link
W39,A-2186-2,Brady,2,"Label, 1"" x 0.5"" poly",,,,
T55,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=VD81NyTW4Xh-0Dv2yKdOvEEWufCb9e72Y3bn8Fojeb4dwY1ijzCjuvsmm7rKdXRa8n9II7d65WxxKfL6Im655kkwMiuf2Wr6LcTTnkw6AuEP6joJJztDcVVjVyrNWEtHKoqZmU2vsZLI_1PkfAjeW5yAcmBKpD1vWTmkivDcMVxx_yiGBYi4Xdaa_1mloujTeJhovi4Y9Ko9A05oahuQ-B2ysvg_BsDqCmfELd2U15-dh9VQ9Mco-pZzF8pE4DCZAwCs_Xs
LBL2,39-01-2025,Molex,2,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=nm3276Anyj3woAFQuxFddHm5ouquJpqirg2bDeAXzGsZfP-4qgSbyBvjJOYshK5VuQqqQbciZwmRhlbeF1sUArvBZ0SYZwfCYQabb7yMdtwaCvS7_AbhLyh_N-BXeOo6s9iP8R4b46ZJJP2BEfEMGz8YNgQo_PNZAlIclK11MsGAGrNME3f1rM2pSHNXK7Y97clC_k1MFD712CpS3VIaADiJvZHQFMMsQEet9DqZ0SuNGwZ0lIiCkZ31MokUrQjkVZM
W69,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=SMzic4vyT-4UvB6eFZzVM60GKXVu7Qq-qP8oH-EuGpBNcP7_Y_R173jqFl4GZLb_BJCzMaEnpKhkQnxwYa1E74okSBer2V-11zRPf9QZRQ68KyPJ8XjtpFe5ImebTjnsuW0NpKOBZGTC7UVu4CyyKooEP7kX7Ag0cet46utsnwIO3simWTctVbwV8aKKzLQS_6JgXIzSItFqMb0f56cxBBQU0KdLmvuaW-hh-8jGJ-4AX83ioW2BpyY0mpHUhTwdikE
LBL27,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
T91,39-01-2025,Molex,4,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=OJzBqOmXmAyJtmjly3oRFZBV0QlSsrD-CwnguhSFP6e2E_mRsAVMwqFt86gMwDHGdA5-tZ7veMrFhOFIT9Cfma0N68fiJHMG1UIA6pdIr5I7Afja51hsjh8Y-jXjMWEzPNaHE66k4Z_vB1CjgbhAfMTbzar6lss_GZK9P4Mh7E4_o36-gt0YkuRidlG0Rt9REb9sQGyn53BidiLjEW4eZMpbvb1V86YwejSVZPOUBwbnRSO4HJlMGFM8HKsQVrxPSA
LBL93,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=H_FiCDHyEq0as1zPrGe2Z9NEG_k87gYEZYaww5TyyN21E1ywZck7gOY8RjYGFy_8-Sc-m5JpC7321f3EYAGwM5GLwgf2S2ZOUOtpBAf8BHwWYtWV-3H7xqeLk_TvhsuwM9fb_lUKXPkLXqZHB9NaDaQ06wdzW47YmzGpSCgSStsD6PfW0OLZpEpFZA73x1KJDikWE-zTNMYwJnTnbSm-w_NiAXOE3V7Iy588mZ37GoNyDGy5DnbnETGZJqC_fyfvJitE4Ns
LBL46,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=xumVQmu4_-5IPEP24h-RiMMhO__ss5ZgEyCYZz3vjyWDyOMvJbWLzf11ED61ysH-5JbWdYTAMWQn8MZZtYKV08tfpqBDP46ekJAECGpmIxcnQtR-z5aVY--HZQiYqKg3BnPmGaAYZHX-MQMTejp1vParbrjM9rIy_9FEAtnqpOV5DAsDYvSF73lcxsOr_7qa3odz8SnPpaX2BqYDyDfD3eCgDiY9V4oDxelq_NaCIwx-i_5lIMNRao3zNJdJ2SSv2rbi7Ps
LBL99,39-01-2025,Molex,2,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=3hs23AFgcVFkm4tMmHvjNyJxIVb92kX6xUKk51zmFlD4bqXAzhyCfPfNBkLHDpj7ofnQKtHsYKi-IoZ8scKwb4GUqvb6aTzIMpI9D6glTKbFOnVxawVPBgkatldpg8pVk2-p4GUEaRHqUTkH3U3PwB1gPegrJs0WIbRakG50LQOSKQEQtIvsGadNHtbLkO27I7x7i0DkRnJYxnvLYKaTWkOlTJ0h8JcPeKfMfcu0D1dzAIcE3X8vG67H1k49uMXs3AQ
LBL83,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
W55,171864-0000,TE Connectivity,4,"Terminal, 22-18AWG, tin",,,,
T26,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
HS24,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=2MM921KcYiQfajfhXp8uT3BhJg7mst8MDukqhoURIQH8GVikhamq0JhDOednkcSNXTd-5dJE8M9uOvHJ_TSp4h_9UzQ5AcvthbrPLrSi6mwLP3wmK8Py_6KK29r4MuicEUuY3LoU-01G1TWy-L4kuyeC9koCFkKRYIrZHQaPg71S5f1d7vcB3P134xP1EuDokzBt-30JZrfeP7eBndJt5Os2LMiiyZkjlbn4a5_GqBbV1wpUyMSuxh1ZlRqntHQ6yCU
T12,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=xoa7sha8YeJHbZ9dh86wLWoN-vYPzrkJmU_0YvtAe81wgJpF-5yfYWR2nxnyRyo-TZpbLk8yixgR_tZBu8o2PWjYpd5uPHibj3QTQFB1S8OXmgGrfNK6YiB9USwgp_yRlfNrVfMe8lwWTrhZmu4ytB2GIHWohx5epe4cu2g7HHyDGzZT4QjCvwu1Dj3KfkqxrkkwXYcAu7LfV8iDX54hw18t_D13ibXS03TO2YDOP7U-DZ8ISF76Hy1DF0OP0nJVOCY
LBL2,171864-0000,TE Connectivity,3,"Terminal, 22-18AWG, tin",,,,
T47,CUST-WIRE-14AWG-RED,Customer-Supplied,5,"14 AWG wire, red, stranded",,,,
HS53,171864-0000,TE Connectivity,3,"Terminal, 22-18AWG, tin",,,,
W76,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=PF8K5mattGoR9NqG3hivxg9FlaaNaY_UQo7KFfgsmgn0RibhOJ6pqjj1MXWiZoZs4Vdxz8Qg-kcxtai8cmqV-EfcQ1dNruHStuTmmzhMei49I_lldXVqbHtEqSbh90c8REpTkQYH1BtkwjpskCrG8bmp1xYdk4XDTY8PIj1Q3AJJeuHTCcz5aok9b4_mEkHfN-f6Qa1iYG-sYjLU6DdIiID9althgPQbRO-MdTiS18d0safF8ukIydpqsUdTDag8Dg
HS91,,,4,Unspecified wire (TBD),,,,
W33,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
J36,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=6W2USSySaCqpLbiD36BeBs731xiQCor9xJ42LsjHncmCK_fSRfzHLA3gNAolm7tWhss8n98poXEeiwaz9YsXMtjV3qnfGp2VISTgaKEgsr-Tt0o458nT8mNqxEkNxatXCv-XMgORqIaNprnWDhfJGOPD0GKoUt7vHc9E4CSUrE2jjn05oigJBbJwOl4hXOobCaccipwowVI0gHWk5c9nucrI61Juwbk2VsBBalD0LJZoZGH3QinvrYRbS0_cHblpNu_EIPk
T97,39-01-2040,Molex,4,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=zszaBFaWIeC6-BcKXn3pQVcvigJTqDDIriphNF5IOqjbz7qd5DTs4DluD2NXfBCjw3Mtl-PGMTOCESil-yXJZ5_j9dk_dnIfiqeKh_lhLhQ6cbhB0N4eeKCP4od78O2WVW2D39dbSRj11Su3jToMnz-XprNOHwRaZV-vnsQaiKvx8h1rEMwA7it5MeJLBqNCxjgi8X43E4BTX-b6RoZA3uh-bovYoEr1kpCVvKG7Za7M65-Rim_tNuw6X0ceoIZ05w
